NAME,DE,EN,FR,IT
text_preismeldung_heruntergeladene,erhaltene Preise,Prices received,Prix téléchargés,Prezzi scaricati
text_preismeldung_hochgeladene,gelieferte Preise,Prices uploaded,Prix transférés,Prezzi caricati
text_preismeldung_offen-erfasst,erfasste Preise,Prices done,Prix déjà relevés,Prezzi rilevati
text_preismeldung_offen-nicht-erfasst,zu erfassende Preise,Prices to do,Prix à relever,Prezzi non rilevati
text_saving-preiserheber,Preiserheber-Info wird gespeichert. Bitte warten...,Saving info about price collector. Please wait...,Les informations sur l'enquêteur/trice sont en cours de sauvegarde. Prière de patienter…,L'informazione relativa al rilevatore viene salvata. Attendere prego…
text_saving-settings,Einstellungen werden gespeichert. Bitte warten...,Saving settings. Please wait...,Les paramètres sont en cours de sauvegarde. Prière de patienter…,Le impostazioni vengono salvate. Attendere prego…
text_synchronizing-data,Datensynchronisierung läuft. Bitte warten...,Synchronizing data. Please wait...,La synchronisation des données est en cours. Prière de patienter…,Sincronizzazione in corso. Attendere prego…
text_textzeil_limitverletzung,Limitverletzung: Preisentwicklung.,Out of range: Price change.,Dépassement des limites: Variation de prix,Fuori limite: evoluzione dei prezzi.
text_textzeil_nicht_vergleichbar,Neuer und alter Artikel nicht vergleichbar!,Replacement item is not comparable to former item,Nouvel et ancien article pas comparables,Nuovo articolo non paragonabile con l'articolo precedente!
text_warenkorb_anzahlergebnisse,Treffer,Results found,Résultats,Risultati
text_yes,Ja,Yes,Oui,Si
validation_erhebungsart_required,Bitte erfassen Sie die Erhebungsart der Preismeldestelle,Please specify the survey type for this store,Veuillez svp préciser le type de relevé pour ce point de vente,Per favore indicare la tecnica di rilevazione del punto vendita
validation_erhebungsregion_required,Bitte erfassen Sie die Region der Preismeldestelle,Please specify the survey region for this store,Veuillez svp préciser la région de relevé pour ce point de vente,Per favore indicare la regione del punto vendita
validation_firstName_required,Bitte erfassen Sie den Vorname der 1. Kontaktperson.,Please specify the first name of contact 1.,Veuillez svp préciser le prénom de la personne de contact 1,Per favore indicare il nome della persona di contatto 1.
validation_formatted_number-out-of-range,"Ungültige Eingabe im Feld ""{{controlName}}"". Bitte Zahl zwischen {{minNumber}} und {{maxNumber}} eingegeben.","Invalid entry for ""{{controlName}}"". Number must be between {{minNumber}} and {{maxNumber}}.","Saisie non autorisée pour ""{{controlName}}"". Veuillez saisir un nombre entre {{minNumber}} et {{maxNumber}}.","Entrata non valida nel campo ""{{controlName}}"". Per favore indicare una cifra tra {{minNumber}} e {{maxNumber}}."
validation_formatted_required,"Feld ""{{controlName}}"" ist erforderlich.",{{controlName}} is required.,"Le champs ""{{controlName}}"" doit être saisi.","E necessario compilare il campo ""{{controlName}}""."
validation_frage-antworten,Bitte Frage im Kommunikationskanal beantworten.,Please answer question in communication stream.,Veuillez répondre à la question du dialogue,Per favore rispondere alla domanda nel campo comunicazione.
validation_languageCode_required,Bitte erfassen Sie die Sprache der Preismeldestelle.,Please specify the language for this store.,Veuillez saisir la langue du point de vente,Per favore indicare la lingua del punto vendita.
validation_name_required,Bitte erfassen Sie den Namen der Preismeldestelle.,Please specify the name of the store.,Veuillez saisir le nom du point de vente,Per favore indicare il nome del punto vendita.
validation_personFunction_required,Bitte erfassen Sie die Funktion der 1. Kontaktperson.,Please specify the function of contact 1.,Veuillez saisir la fonction de la personne de contact 1,Per favore indicare la funzione del punto vendita.
validation_postcode_required,Bitte erfassen Sie die PLZ der Preismeldestelle.,Please specify the postal code of the store.,Veuillez saisir le NPA du point de vente,Per favore indicare il CAP del punto vendita.
validation_produktMerkmale_erfassen,Bitte Produktmerkmale erfassen.,Please specify the product features.,Veuillez saisir les caractéristiques du produit,Per favore indicare il nome del punto vendita.
validation_street_required,Bitte erfassen Sie die Strasse der Preismeldestelle.,Please specify the street of the store.,Veuillez saisir l'adresse du point de vente,Per favore indicare la via del punto vendita.
validation_surname_required,Bitte erfassen Sie den Namen der 1. Kontaktperson.,Please specify the surname of contact 1.,Veuillez saisir le nom de la personne de contact 1,Per favore indicare il nome della persona di contatto 1.
validation_town_required,Bitte erfassen Sie den Ort der Preismeldestelle.,Please specify the city of the store.,Veuillez saisir la localité du point de vente,Per favore indicare la città del punto vendita.
